kind	dataset	backbone	seed	delta_coarse	delta_fine	alpha	batch_budget	experiment	sbatch
main	tinyimagenet	resnet18	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_tin_r18_c070_f050_s2_b050.sbatch
main	tinyimagenet	resnet18	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_tin_r18_c070_f050_s3_b050.sbatch
main	tinyimagenet	resnet18	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_tin_r18_c070_f050_s4_b050.sbatch
main	tinyimagenet	resnet18	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_tin_r18_c070_f050_s5_b050.sbatch
main	tinyimagenet	resnet50	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_tin_r50_c070_f050_s1_b050.sbatch
main	tinyimagenet	resnet50	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_tin_r50_c070_f050_s2_b050.sbatch
main	tinyimagenet	resnet50	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_tin_r50_c070_f050_s3_b050.sbatch
main	tinyimagenet	resnet50	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_tin_r50_c070_f050_s4_b050.sbatch
main	tinyimagenet	resnet50	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_tin_r50_c070_f050_s5_b050.sbatch
scale	cifar10	resnet18	1	0.60	0.40	0.70	50	MSTC_C060_F040_A070_1_50b	scale_c10_r18_c060_f040_s1_b050.sbatch
scale	cifar10	resnet18	2	0.60	0.40	0.70	50	MSTC_C060_F040_A070_2_50b	scale_c10_r18_c060_f040_s2_b050.sbatch
scale	cifar10	resnet18	3	0.60	0.40	0.70	50	MSTC_C060_F040_A070_3_50b	scale_c10_r18_c060_f040_s3_b050.sbatch
scale	cifar10	resnet18	4	0.60	0.40	0.70	50	MSTC_C060_F040_A070_4_50b	scale_c10_r18_c060_f040_s4_b050.sbatch
scale	cifar10	resnet18	5	0.60	0.40	0.70	50	MSTC_C060_F040_A070_5_50b	scale_c10_r18_c060_f040_s5_b050.sbatch
scale	cifar10	resnet18	1	0.80	0.60	0.70	50	MSTC_C080_F060_A070_1_50b	scale_c10_r18_c080_f060_s1_b050.sbatch
scale	cifar10	resnet18	2	0.80	0.60	0.70	50	MSTC_C080_F060_A070_2_50b	scale_c10_r18_c080_f060_s2_b050.sbatch
scale	cifar10	resnet18	3	0.80	0.60	0.70	50	MSTC_C080_F060_A070_3_50b	scale_c10_r18_c080_f060_s3_b050.sbatch
scale	cifar10	resnet18	4	0.80	0.60	0.70	50	MSTC_C080_F060_A070_4_50b	scale_c10_r18_c080_f060_s4_b050.sbatch
